Record ID,Date,Region,Lead Source,Leads Generated,Demo Calls,Deals Closed,Revenue (INR),Marketing Spend (INR),Sales Hours Spent
SLS-0058,2026-03-03,Central,Email Campaign,119,17,2,142000,33500,42.7
SLS-0059,2026-03-04,East,Email Campaign,119,34,3,161000,32500,38.4
SLS-0060,2026-03-04,North,Webinar,175,48,13,795000,84000,72.5
SLS-0061,2026-03-05,South,LinkedIn,179,47,13,805000,124000,61.5
SLS-0062,2026-03-06,North,Email Campaign,124,12,1,65000,43000,41.8
SLS-0063,2026-03-07,Central,Webinar,157,31,7,141000,69000,55.2
SLS-0064,2026-03-12,Central,LinkedIn,94,26,6,403000,53500,37.5
SLS-0065,2026-03-12,West,Webinar,73,21,4,272000,46000,30.0
SLS-0066,2026-03-13,West,LinkedIn,153,39,8,599000,93500,71.3
SLS-0067,2026-03-13,Central,Google Ads,133,25,1,56000,112500,46.1
SLS-0068,2026-03-14,Central,Referral,104,37,12,689000,27500,49.9
SLS-0069,2026-03-16,South,Email Campaign,87,14,2,138000,27500,30.9
SLS-0070,2026-03-22,East,Referral,90,28,12,698000,22000,45.9
SLS-0071,2026-03-22,East,Google Ads,69,13,2,69000,55000,25.0
SLS-0072,2026-03-23,Central,Website,37,7,1,52000,16500,9.5
SLS-0073,2026-03-25,Central,Referral,95,32,13,486000,23500,49.7
SLS-0074,2026-03-27,North,LinkedIn,152,46,13,844000,94500,68.9
SLS-0075,2026-03-29,North,Google Ads,180,39,6,206000,129500,77.8
SLS-0076,2026-03-29,North,Referral,135,46,12,635000,35500,72.7
SLS-0077,2026-03-29,North,Webinar,178,40,9,480000,93500,77.0
SLS-0078,2026-03-30,South,Email Campaign,124,23,5,308000,38000,40.7
SLS-0079,2026-03-30,North,Referral,170,68,20,1169000,45000,83.1
SLS-0080,2026-03-30,Central,LinkedIn,61,13,2,92000,32500,24.2
SLS-0081,2026-03-31,West,LinkedIn,175,44,17,1247000,115500,87.0
SLS-0082,2026-03-31,Central,Google Ads,57,13,2,96000,49000,18.8
SLS-0083,2026-04-02,South,Google Ads,161,23,5,367000,97500,47.5
SLS-0084,2026-04-03,Central,Email Campaign,178,40,5,244000,62000,85.1
SLS-0085,2026-04-05,West,Referral,35,13,5,270000,9000,18.9
SLS-0086,2026-04-06,Central,Website,112,18,2,103000,57500,37.5
SLS-0087,2026-04-06,Central,Email Campaign,35,7,1,60000,11000,11.5
SLS-0088,2026-04-09,Central,Email Campaign,97,13,1,56000,27500,33.3
SLS-0089,2026-04-10,East,Website,73,20,5,341000,32500,33.8
SLS-0090,2026-04-11,West,Referral,132,46,12,741000,40000,55.2
SLS-0091,2026-04-13,West,Email Campaign,129,14,2,157000,35500,41.1
SLS-0092,2026-04-13,West,Website,117,29,5,448000,56000,47.3
SLS-0093,2026-04-13,West,Email Campaign,59,13,1,74000,18500,21.1
SLS-0094,2026-04-14,West,Email Campaign,143,25,4,335000,47500,55.6
SLS-0095,2026-04-14,West,LinkedIn,93,15,3,186000,60500,31.4
SLS-0096,2026-04-14,North,Referral,92,29,9,481000,26000,44.7
SLS-0097,2026-04-16,South,Google Ads,152,24,4,253000,131000,48.7
SLS-0098,2026-04-17,North,Referral,103,32,9,406000,20500,45.0
SLS-0099,2026-04-18,East,LinkedIn,99,37,7,407000,66500,41.1
SLS-0100,2026-04-21,Central,LinkedIn,178,50,11,620000,115500,102.6
SLS-0101,2026-04-21,North,LinkedIn,139,54,13,582000,98500,64.6
SLS-0102,2026-04-27,South,Website,91,28,7,471000,41500,36.7
SLS-0103,2026-05-02,Central,Email Campaign,157,25,1,75000,52500,45.7
SLS-0104,2026-05-03,South,Google Ads,44,10,0,0,34000,11.7
SLS-0105,2026-05-04,West,Referral,136,59,18,1412000,37000,85.9
SLS-0106,2026-05-04,North,Google Ads,117,27,3,202000,88500,48.3
SLS-0107,2026-05-09,North,LinkedIn,75,20,5,166000,44500,32.2
SLS-0108,2026-05-10,South,LinkedIn,108,29,8,381000,73500,49.5
SLS-0109,2026-05-10,North,Email Campaign,92,19,3,202000,26000,39.3
SLS-0110,2026-05-11,North,Referral,176,46,15,947000,52000,74.7
SLS-0111,2026-05-11,Central,LinkedIn,105,27,8,387000,68500,45.6
SLS-0112,2026-05-11,North,Referral,133,53,16,901000,33500,58.9
SLS-0113,2026-05-12,South,LinkedIn,85,24,4,291000,60000,32.8
SLS-0114,2026-05-12,West,Google Ads,125,24,4,351000,95500,53.2
SLS-0115,2026-05-12,West,Website,78,19,5,372000,38000,35.1
SLS-0116,2026-05-14,Central,Google Ads,81,7,1,54000,56000,24.0
SLS-0117,2026-05-15,Central,LinkedIn,39,10,2,89000,33000,16.1
SLS-0118,2026-05-15,North,Website,166,36,9,611000,57500,67.1
SLS-0119,2026-05-16,West,Website,179,39,6,463000,63000,62.9
SLS-0120,2026-05-16,West,Referral,168,54,25,1482000,34000,87.7
SLS-0121,2026-05-17,Central,Webinar,136,38,7,359000,59500,50.8
SLS-0122,2026-05-19,North,Website,80,18,3,124000,30500,29.7
SLS-0123,2026-05-22,North,LinkedIn,40,16,3,198000,25500,14.3
SLS-0124,2026-05-23,Central,Website,147,46,4,224000,70000,40.9
SLS-0125,2026-05-26,Central,LinkedIn,81,19,5,331000,58500,31.9
SLS-0126,2026-05-30,East,Email Campaign,156,25,4,202000,43000,44.9
SLS-0127,2026-05-31,East,Webinar,38,12,4,174000,17500,19.1
SLS-0128,2026-05-31,South,Google Ads,45,11,2,147000,36000,19.3
SLS-0129,2026-06-01,Central,Referral,76,28,7,315000,21500,27.3
SLS-0130,2026-06-03,South,Referral,50,17,6,333000,13500,24.7
SLS-0131,2026-06-06,Central,Google Ads,42,7,0,0,36000,11.4
SLS-0132,2026-06-07,South,LinkedIn,110,31,8,468000,65500,42.1
SLS-0133,2026-06-09,West,LinkedIn,106,28,3,179000,72000,40.2
SLS-0134,2026-06-10,West,Website,41,10,2,106000,17000,17.1
SLS-0135,2026-06-11,West,LinkedIn,48,12,2,127000,28500,16.3
SLS-0136,2026-06-11,North,LinkedIn,152,44,11,547000,86000,65.4
SLS-0137,2026-06-12,South,Website,149,19,5,295000,58000,46.5
SLS-0138,2026-06-12,West,Website,116,25,3,228000,52000,44.3
SLS-0139,2026-06-13,South,Google Ads,151,30,5,374000,130000,55.0
SLS-0140,2026-06-16,South,Webinar,53,16,3,191000,26000,23.4
SLS-0141,2026-06-19,North,Webinar,84,27,9,444000,39500,42.0
SLS-0142,2026-06-19,South,Google Ads,63,9,1,83000,55000,21.7
SLS-0143,2026-06-20,South,Email Campaign,66,12,2,89000,20000,27.4
SLS-0144,2026-06-21,West,Google Ads,120,26,4,251000,123500,52.3
SLS-0145,2026-06-21,North,LinkedIn,35,9,2,111000,25500,14.1
SLS-0146,2026-06-24,North,Website,170,47,13,766000,84000,65.5
SLS-0147,2026-06-24,West,Website,126,18,2,138000,50500,48.3
SLS-0148,2026-06-24,East,Email Campaign,139,15,2,94000,37500,37.4
SLS-0149,2026-06-28,Central,Webinar,179,48,10,466000,92500,51.0
SLS-0150,2026-06-29,West,Email Campaign,145,34,7,523000,45500,61.8
